Outcome,ATE,SE,IC_Lower,IC_Upper,p_value,t_stat,Significativo_05,Significativo_10
EGRA Total,-1.4056447856724201,2.688692452034957,-6.841250608553509,3.7220001115530335,0.6011143787881985,-0.5227986505517012,False,False
EGMA Total,-1.7400205081342162,2.3929213697108715,-6.406261637541102,2.8345018310009795,0.46713209219136353,-0.7271532320949003,False,False
