codigo_dane,tratamiento,edad,sexo,EGRA_Total,EGMA_Total,CSL_pct_correctas,DPSS_pct_correctas,LP_pct_correctas,CL_pct_correctas,miss_num_pct_correctas,comp_mat_op_pct_correctas,sums_pct_correctas,substract_pct_correctas,mult_div_pct_correctas,res_problems_pct_correctas,ruralidad,pdet,tei_nivel_pre,matricula_pre,pct_jornada_completa,composicion_grados,zona_C,zona_D,zona_E,tiene_tei_slope,tei_slope_pre,zona_ptafi
125754002066,1,10,2,62.709999999999994,49.35833333333333,33.33,76,58.18,83.33,50,30,68,48.15,50,50.0,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
376563001844,0,9,2,39.5,73.82666666666667,0.0,78,46.67,33.33,100,50,100,62.96,30,100.0,0.0,1.0,97.61904761904762,96.0,0.0,2.0,False,True,False,0,,D
325754004238,0,9,1,36.582499999999996,61.705000000000005,28.33,48,20.0,50.0,50,60,88,55.56,50,66.67,0.0,0.0,99.29179282600856,1396.0,100.0,3.0,True,False,False,0,,C
119001001474,0,9,2,54.552499999999995,66.815,18.33,62,54.55,83.33,70,70,92,55.56,80,33.33,0.0,0.0,98.90026346892544,1094.0,0.0,4.0,False,True,False,1,-1.849822712498764,D
344430001176,0,9,2,61.175,74.815,25.0,100,69.7,50.0,90,60,100,88.89,60,50.0,0.0,0.0,99.56896551724138,301.0,0.0,4.0,False,False,False,0,,A
125754002066,1,10,1,53.432500000000005,38.803333333333335,31.67,86,46.06,50.0,60,10,48,48.15,50,16.67,0.0,0.0,96.69445516527318,3021.0,0.0,4.0,True,False,False,1,-0.7963177379537711,C
119001003981,1,10,1,37.1375,43.76499999999999,26.67,54,34.55,33.33,40,40,60,59.26,30,33.33,0.0,0.0,96.70943209628568,1399.0,0.0,4.0,False,True,False,1,3.694207178719765,D
119001001474,0,9,2,76.485,65.08666666666667,60.0,92,87.27,66.67,80,60,72,51.85,60,66.67,0.0,0.0,98.90026346892544,1094.0,0.0,4.0,False,True,False,1,-1.849822712498764,D
119001001474,0,9,2,65.9525,73.17333333333333,33.33,92,55.15,83.33,90,60,92,70.37,60,66.67,0.0,0.0,98.90026346892544,1094.0,0.0,4.0,False,True,False,1,-1.849822712498764,D
225126000288,1,10,1,4.885,20.938333333333333,18.33,0,1.21,0.0,30,0,16,29.63,0,50.0,0.0,0.0,96.12225747971851,901.0,0.0,4.0,True,False,False,1,-0.2618497373351687,C
