locationEstudiante,locationSede,codigo_dane,tratamiento,par_id,pionero,edad,sexo,zona,ruralidad,pdet,zona_ptafi,tei_nivel_pre,tei_slope_pre,matricula_pre,num_jornadas,pct_jornada_completa,composicion_grados,CSL_total_correctas,CSL_pct_correctas,DPSS_total_correctas,DPSS_pct_correctas,LP_total_correctas,LP_pct_correctas,CL_total_correctas,CL_pct_correctas,miss_num_total_correctas,miss_num_pct_correctas,comp_mat_op_total_correctas,comp_mat_op_pct_correctas,sums_total_correctas,sums_pct_correctas,substract_total_correctas,substract_pct_correctas,mult_div_total_correctas,mult_div_pct_correctas,res_problems_total_correctas,res_problems_pct_correctas
77181777,125754002066,125754002066,1,11.0,1.0,10,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,9,15.0,34,68,61,36.97,4,66.67,5,50,6,60,19,76,14,51.85,4,40,4,66.67
77186713,125754002066,125754002066,1,11.0,1.0,10,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,20,33.33,38,76,96,58.18,5,83.33,5,50,3,30,17,68,13,48.15,5,50,3,50.0
77245831,376563001844,376563001844,0,7.0,0.0,9,2,URBANO,0.0,1.0,D,97.61904761904762,,96.0,2.0,0.0,2.0,0,0.0,39,78,77,46.67,2,33.33,10,100,5,50,25,100,17,62.96,3,30,6,100.0
77304965,325754004238,325754004238,0,11.0,1.0,9,1,URBANO,0.0,0.0,C,99.29179282600855,,1396.0,1.0,100.0,3.0,17,28.33,24,48,33,20.0,3,50.0,5,50,6,60,22,88,15,55.56,5,50,4,66.67
77726449,119001001474,119001001474,0,5.0,0.0,9,2,URBANO,0.0,0.0,D,98.90026346892544,-1.8498227124987636,1094.0,1.0,0.0,4.0,11,18.33,31,62,90,54.55,5,83.33,7,70,7,70,23,92,15,55.56,8,80,2,33.33
77731476,344430001176,344430001176,0,3.0,0.0,9,2,URBANO,0.0,0.0,A,99.56896551724138,,301.0,1.0,0.0,4.0,15,25.0,50,100,115,69.7,3,50.0,9,90,6,60,25,100,24,88.89,6,60,3,50.0
77758032,125754002066,125754002066,1,11.0,1.0,10,1,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,19,31.67,43,86,76,46.06,3,50.0,6,60,1,10,12,48,13,48.15,5,50,1,16.67
77820853,119001003981,119001003981,1,5.0,0.0,10,1,URBANO,0.0,0.0,D,96.70943209628567,3.694207178719765,1399.0,3.0,0.0,4.0,16,26.67,27,54,57,34.55,2,33.33,4,40,4,40,15,60,16,59.26,3,30,2,33.33
77839471,119001001474,119001001474,0,5.0,0.0,9,2,URBANO,0.0,0.0,D,98.90026346892544,-1.8498227124987636,1094.0,1.0,0.0,4.0,36,60.0,46,92,144,87.27,4,66.67,8,80,6,60,18,72,14,51.85,6,60,4,66.67
77839579,119001001474,119001001474,0,5.0,0.0,9,2,URBANO,0.0,0.0,D,98.90026346892544,-1.8498227124987636,1094.0,1.0,0.0,4.0,20,33.33,46,92,91,55.15,5,83.33,9,90,6,60,23,92,19,70.37,6,60,4,66.67
77870947,225126000288,225126000288,1,9.0,0.0,10,1,URBANO,0.0,0.0,C,96.12225747971851,-0.2618497373351687,901.0,2.0,0.0,4.0,11,18.33,0,0,2,1.21,0,0.0,3,30,0,0,4,16,8,29.63,0,0,3,50.0
77913371,125754002066,125754002066,1,11.0,1.0,10,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,18,30.0,44,88,100,60.61,6,100.0,8,80,4,40,14,56,15,55.56,5,50,1,16.67
77980826,125754002066,125754002066,1,11.0,1.0,11,1,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,8,13.33,18,36,35,21.21,2,33.33,8,80,7,70,25,100,25,92.59,8,80,4,66.67
77994493,376001030965,376001030965,0,1.0,1.0,11,1,URBANO,0.0,0.0,D,95.16745953355237,,651.0,2.0,0.0,4.0,0,0.0,39,78,76,46.06,4,66.67,9,90,8,80,25,100,22,81.48,10,100,5,83.33
78021356,119548000251,119548000251,0,2.0,0.0,10,2,URBANO,0.0,0.0,D,90.9504481706702,0.9777490020274087,1230.0,2.0,0.0,4.0,8,13.33,0,0,0,0.0,0,0.0,1,10,0,0,0,0,0,0.0,0,0,1,16.67
78027150,125754002066,125754002066,1,11.0,1.0,10,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,15,25.0,31,62,55,33.33,4,66.67,8,80,9,90,25,100,16,59.26,9,90,4,66.67
78056725,119548000014,119548000014,1,2.0,0.0,10,2,URBANO,0.0,0.0,D,88.12728061959906,-3.300015784652686,941.0,2.0,0.0,4.0,10,16.67,31,62,47,28.48,3,50.0,7,70,9,90,23,92,19,70.37,9,90,5,83.33
78095996,125754002066,125754002066,1,11.0,1.0,9,2,URBANO,0.0,0.0,C,96.69445516527318,-0.7963177379537711,3021.0,3.0,0.0,4.0,35,58.33,46,92,95,57.58,4,66.67,9,90,7,70,24,96,14,51.85,9,90,5,83.33
78142668,119001003981,119001003981,1,5.0,0.0,9,1,URBANO,0.0,0.0,D,96.70943209628567,3.694207178719765,1399.0,3.0,0.0,4.0,8,13.33,14,28,17,10.3,2,33.33,5,50,4,40,14,56,15,55.56,5,50,2,33.33
78151679,325754004238,325754004238,0,11.0,1.0,9,1,URBANO,0.0,0.0,C,99.29179282600855,,1396.0,1.0,100.0,3.0,15,25.0,32,64,93,56.36,4,66.67,8,80,7,70,21,84,18,66.67,2,20,3,50.0
78175201,119001001474,119001001474,0,5.0,0.0,9,2,URBANO,0.0,0.0,D,98.90026346892544,-1.8498227124987636,1094.0,1.0,0.0,4.0,32,53.33,40,80,79,47.88,4,66.67,8,80,7,70,25,100,23,85.19,10,100,3,50.0
78177347,195001001111,195001001111,1,10.0,0.0,10,2,URBANO,0.0,1.0,E,83.01764567898707,3.9711727661370446,1586.0,3.0,0.0,4.0,9,15.0,28,56,50,30.3,1,16.67,5,50,7,70,21,84,14,51.85,6,60,1,16.67
